"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","FIN218","FINANCL MARKETS & INSTITUTIONS","001","93390","TR","10:00 AM - 11:20 AM","CKB G-08","Closed","33","33","Li, Jixing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93390",""
"202590","FIN218","FINANCL MARKETS & INSTITUTIONS","003","93391","WF","1:00 PM - 2:20 PM","KUPF 107","Closed","43","43","Eliopoulos, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93391",""
"202590","FIN218","FINANCL MARKETS & INSTITUTIONS","101","93392","W","6:00 PM - 8:50 PM","KUPF 107","Open","43","30","Hammond, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93392",""
"202590","FIN218","FINANCL MARKETS & INSTITUTIONS","451","93393","","TBA"," ","Closed","30","30","Wang, Jinghua","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93393","Online Course"
"202590","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM1","93394","TR","10:00 AM - 11:20 AM","CKB G-08","Open","10","8","Li, Jixing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93394","Honors Course"
"202590","FIN306","BLOCKCHAIN TECH FOR BUSINESS","001","93395","TR","1:00 PM - 2:20 PM","TIER LECT 2","Closed","43","43","Li, Jixing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93395",""
"202590","FIN310","DATA-DRIVEN FINANCIAL MODELING","001","93396","MW","11:30 AM - 12:50 PM","CKB 303","Closed","43","43","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93396","Students must bring their own device for this section."
"202590","FIN315","FUND OF CORPORATE FINANCE","001","93397","WF","1:00 PM - 2:20 PM","CULM LECT 3","Open","33","31","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93397",""
"202590","FIN315","FUND OF CORPORATE FINANCE","003","93398","MR","2:30 PM - 3:50 PM","KUPF 207","Closed","43","43","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93398",""
"202590","FIN315","FUND OF CORPORATE FINANCE","101","93399","M","6:00 PM - 8:50 PM","CULM LECT 3","Open","43","29","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93399",""
"202590","FIN315","FUND OF CORPORATE FINANCE","451","93400","","TBA"," ","Closed","30","30","Desanto, Elliot","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93400","Online Course"
"202590","FIN315","FUND OF CORPORATE FINANCE","453","93401","","TBA"," ","Closed","30","30","Domasky, Peter","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93401","Online Course"
"202590","FIN315","FUND OF CORPORATE FINANCE - HONORS","HM1","93402","WF","1:00 PM - 2:20 PM","CULM LECT 3","Open","10","3","Uddin, Ajim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93402","Honors Course"
"202590","FIN320","FIN DATA ANALYTICS","001","93403","TR","2:30 PM - 3:50 PM","KUPF 211","Closed","43","43","Liu, Yanguang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93403",""
"202590","FIN403","FINANCIAL STATEMENT ANALYSIS","451","93404","","TBA"," ","Open","35","33","Athari, Mahtab","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=93404","Online Course"
